Metadata_target_list,Metadata_target_list_split_compact
ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|HTR1A|HTR2B,HTR1A
ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|HTR1A|HTR2B,HTR2B
OPRD1|OPRK1|OPRM1,OPRD1
OPRD1|OPRK1|OPRM1,OPRK1
OPRD1|OPRK1|OPRM1,OPRM1
CACNA1C|CACNA2D1|CACNB1|CACNG1|KCNH2|KCNH6|KCNH7|KCNJ11|KCNK1|KCNK6,CACNA1C
CACNA1C|CACNA2D1|CACNB1|CACNG1|KCNH2|KCNH6|KCNH7|KCNJ11|KCNK1|KCNK6,CACNA2D1
CACNA1C|CACNA2D1|CACNB1|CACNG1|KCNH2|KCNH6|KCNH7|KCNJ11|KCNK1|KCNK6,CACNB1
CACNA1C|CACNA2D1|CACNB1|CACNG1|KCNH2|KCNH6|KCNH7|KCNJ11|KCNK1|KCNK6,CACNG1
CACNA1C|CACNA2D1|CACNB1|CACNG1|KCNH2|KCNH6|KCNH7|KCNJ11|KCNK1|KCNK6,KCNH2
CACNA1C|CACNA2D1|CACNB1|CACNG1|KCNH2|KCNH6|KCNH7|KCNJ11|KCNK1|KCNK6,KCNH6
CACNA1C|CACNA2D1|CACNB1|CACNG1|KCNH2|KCNH6|KCNH7|KCNJ11|KCNK1|KCNK6,KCNH7
CACNA1C|CACNA2D1|CACNB1|CACNG1|KCNH2|KCNH6|KCNH7|KCNJ11|KCNK1|KCNK6,KCNJ11
CACNA1C|CACNA2D1|CACNB1|CACNG1|KCNH2|KCNH6|KCNH7|KCNJ11|KCNK1|KCNK6,KCNK1
CACNA1C|CACNA2D1|CACNB1|CACNG1|KCNH2|KCNH6|KCNH7|KCNJ11|KCNK1|KCNK6,KCNK6
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,KCNH2
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,KCNH6
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,KCNH7
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,KCNMA1
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,KCNMB1
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,KCNMB2
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,KCNMB3
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,KCNMB4
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,KCNN1
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,KCNN2
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,KCNN3
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,KCNN4
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,NOS2
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,NOS3
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,TRPM2
KCNH2|KCNH6|KCNH7|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|NOS2|NOS3|TRPM2|TRPV5,TRPV5
P2RY12,P2RY12
CACNA1C|CACNA1D|CACNA1S|CACNA2D1|CACNA2D3|CACNB2,CACNA1C
CACNA1C|CACNA1D|CACNA1S|CACNA2D1|CACNA2D3|CACNB2,CACNA1D
CACNA1C|CACNA1D|CACNA1S|CACNA2D1|CACNA2D3|CACNB2,CACNA1S
CACNA1C|CACNA1D|CACNA1S|CACNA2D1|CACNA2D3|CACNB2,CACNA2D1
CACNA1C|CACNA1D|CACNA1S|CACNA2D1|CACNA2D3|CACNB2,CACNA2D3
CACNA1C|CACNA1D|CACNA1S|CACNA2D1|CACNA2D3|CACNB2,CACNB2
ALKBH2|ALKBH3|BBOX1|DBH|EGLN1|EGLN2|EGLN3|KDM5D|LCT|OGFOD1|OGFOD2|P3H1|P3H2|P3H3|P4HA1|P4HTM|PAM|PHYH|PLOD1|PLOD2|PLOD3|SLC23A1|SLC23A2|TMLHE,ALKBH2
ALKBH2|ALKBH3|BBOX1|DBH|EGLN1|EGLN2|EGLN3|KDM5D|LCT|OGFOD1|OGFOD2|P3H1|P3H2|P3H3|P4HA1|P4HTM|PAM|PHYH|PLOD1|PLOD2|PLOD3|SLC23A1|SLC23A2|TMLHE,ALKBH3
ALKBH2|ALKBH3|BBOX1|DBH|EGLN1|EGLN2|EGLN3|KDM5D|LCT|OGFOD1|OGFOD2|P3H1|P3H2|P3H3|P4HA1|P4HTM|PAM|PHYH|PLOD1|PLOD2|PLOD3|SLC23A1|SLC23A2|TMLHE,BBOX1
ALKBH2|ALKBH3|BBOX1|DBH|EGLN1|EGLN2|EGLN3|KDM5D|LCT|OGFOD1|OGFOD2|P3H1|P3H2|P3H3|P4HA1|P4HTM|PAM|PHYH|PLOD1|PLOD2|PLOD3|SLC23A1|SLC23A2|TMLHE,DBH
ALKBH2|ALKBH3|BBOX1|DBH|EGLN1|EGLN2|EGLN3|KDM5D|LCT|OGFOD1|OGFOD2|P3H1|P3H2|P3H3|P4HA1|P4HTM|PAM|PHYH|PLOD1|PLOD2|PLOD3|SLC23A1|SLC23A2|TMLHE,EGLN1
ALKBH2|ALKBH3|BBOX1|DBH|EGLN1|EGLN2|EGLN3|KDM5D|LCT|OGFOD1|OGFOD2|P3H1|P3H2|P3H3|P4HA1|P4HTM|PAM|PHYH|PLOD1|PLOD2|PLOD3|SLC23A1|SLC23A2|TMLHE,EGLN2
