Metadata_target_list_split_compact,Metadata_broad_sample
HTR1E|HTR6|HTR7,BRD-K18895904-001-16-1
HTR1E|HTR6|HTR7,BRD-K70358946-001-17-3
HTR1E|HTR6|HTR7,BRD-K72815923-034-02-0
HTR1F,BRD-K18895904-001-16-1
HTR1F,BRD-K72815923-034-02-0
HTR2A,BRD-A99888680-001-05-3
HTR2A,BRD-K18895904-001-16-1
HTR2A,BRD-K68982262-001-01-4
HTR2A,BRD-K70358946-001-17-3
HTR2A,BRD-K70778732-003-27-5
HTR2A,BRD-K72815923-034-02-0
HTR2B,BRD-A72483914-001-03-7
HTR2B,BRD-K18895904-001-16-1
HTR2B,BRD-K68982262-001-01-4
